Timestamp(ms),Current(uA)
55990,117739.820
56000,118013.219
56010,117903.203
56020,118241.078
56030,117558.773
56040,117521.953
56050,117770.453
56060,117895.258
56070,117609.313
56080,117758.445
56090,117720.734
56100,117833.539
56110,117834.430
56120,117979.914
56130,117690.656
56140,117663.375
56150,117302.211
56160,117254.742
56170,116416.766
56180,116908.445
56190,116973.375
56200,116859.984
56210,89744.500
56220,34338.656
56230,13882.553
56240,6416.260
56250,4398.226
56260,5149.199
56270,7107.538
56280,8534.898
56290,6836.347
56300,5597.592
56310,4845.177
56320,4367.738
56330,4082.307
56340,3921.491
56350,3830.169
56360,3779.524
56370,3753.441
56380,3747.550
56390,3777.234
56400,3834.499
56410,3832.615
56420,3828.155
56430,3828.022
56440,3827.625
56450,3827.875
56460,3832.823
56470,3835.206
56480,3913.865
56490,3947.378
56500,3868.893
56510,3835.438
56520,3816.792
56530,3812.699
56540,3813.393
56550,3809.188
56560,3810.556
56570,3806.850
56580,3804.147
56590,3803.385
56600,3798.138
56610,3798.622
56620,3797.281
56630,3799.404
56640,3802.640
56650,3798.347
56660,3796.586
56670,3795.751
56680,3796.191
56690,3798.207
56700,3797.763
56710,3798.887
56720,3795.250
56730,3795.995
56740,3796.109
56750,3795.741
56760,3798.452
56770,3796.487
56780,3796.560
56790,3800.996
56800,3798.770
56810,3800.790
56820,3798.907
56830,3797.031
56840,3797.292
56850,3794.701
56860,3798.281
56870,3797.035
56880,3797.338
56890,3798.788
56900,3797.348
56910,3800.660
56920,3801.203
56930,3802.915
56940,3804.995
56950,3803.222
56960,3802.446
56970,3796.944
56980,3796.347
56990,3796.089
57000,3795.592
57010,3797.843
57020,3795.559
57030,3795.915
57040,3797.304
57050,3793.129
57060,3796.015
57070,3795.021
57080,3795.015
57090,3797.628
57100,3797.853
57110,3797.926
57120,3795.762
57130,3795.436
57140,3793.722
57150,3790.970
57160,3793.700
57170,3794.704
57180,3793.141
57190,3793.301
57200,3792.471
57210,3793.298
57220,3791.554
57230,3793.119
57240,3796.065
57250,3793.658
57260,3795.421
57270,3793.771
57280,3792.032
57290,3793.021
57300,3789.941
57310,3792.879
57320,3792.665
57330,3795.441
57340,3798.808
57350,3796.844
57360,3798.058
57370,3797.045
57380,3795.514
57390,3797.091
57400,3793.288
57410,3794.759
57420,3793.822
57430,3794.682
57440,3795.624
57450,3796.902
57460,3799.748
57470,3798.448
57480,3796.205
